No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
211,赛跑·树桩,text,格鲁德峡谷驿站,"-2697.6, 2105.0","-2603.8, 2126.6",是,"Climb up to the seed platform on the wood platform high above the chasm to the east, then race to the seed. The ring disappears quickly, so save before you attempt it. Speed boosts help, run off the platform, paraglide very little (gliding spends the most time while covering the least distance and height), then sprint to the circle.",Korok211.jpg
212,推石入坑,text,格鲁德峡谷,"-2258.4, 2224.0",,,Roll the boulder into the hole.,Korok212.jpg
213,精灵光点,text,双子驿站,"1754.4, 1920.0",,,"Climb to the top of Dueling Peaks Stable, then examine the fairy lights.",Korok213.jpg
214,搬石头,text,双子驿站,"1875.6, 2051.6",,,"Climb the tree, lift the rock.",Korok214.jpg
215,磁铁·方块拼图,text,卡琳高原,"2497.6, 1804.4",,,Solve the simple block puzzle for the seed.,Korok215.jpg
216,射气球,text,洛兹伍德山,"2367.0, 2301.0",,,Stand near the pinwheel and shoot acorns that get thrown up above the nearby tree to the north.,Korok216.jpg
217,搬石头,text,希克里森林,"1887.0, 2418.4",,,Pick up the rock here.,Korok217.jpg
218,搬石头,text,双胞弟弟桥,"1682.0, 2329.0",,,"Climb up to this ledge, and lift this rock.",Korok218.jpg
219,搬石头,text,花柔利亚山,"1967.6, 2635.6",,,"Climb up the tree, lift the rock.",Korok219.jpg
220,推石入坑,text,双子山,"1518.0, 1850.0","1393.0, 1857.1",是,Roll a boulder through the two trees. Some boulders can be found uphill to the west.,Korok220.jpg
221,磁铁·方块拼图,text,卡伊更台地,"3279.6, 1438.4",,,Use Magnesis to move the iron cube into the correct spot.,Korok221.jpg
222,垒石·石圈,text,克洛伊达高地,"2104.0, 2628.4",,,Throw one of the many available rocks into the center of the circle. Use Cryonis Rune to help.,Korok222.jpg
223,射箭·射靶,text,亚哲台地,"1385.0, 2274.0","1441.9, 2350.1",是,Find the acorn in a hole in a tree and shoot it.,Korok223.jpg
224,垒石·石圈,text,拉贝岩礁,"-133.0, 3804.0",,,Complete the star-shaped stone pattern with a nearby rock.,Korok224.jpg
225,搬石头,text,拉贝岩礁,"10.0, 3790.0",,,Roll this boulder away and then lift the uncovered rock.,Korok225.jpg
226,精灵光点,text,帕发海岸,"260.4, 3832.0",,,Catch the fairy lights below the overhang.,Korok226.jpg
227,磁铁·方块拼图,text,帕发海岸,"418.0, 3850.4",,,Half this block puzzle is underwater. Solve it.,Korok227.jpg
228,磁铁·方块拼图,text,奥赛平原,"-877.6, 3567.6",,,Complete the block puzzle.,Korok228.jpg
229,射气球,text,摩尔达巴山,"-1173.6, 3579.0",,,Stand next to the pinwheel to trigger a balloon. A well timed bomb will make this balloon much easier than attempting to shoot it with arrows.,Korok229.jpg
230,赛跑·树桩,text,特托拉平原,"-387.6, 3151.6","-276.8, 3316.5",是,The seed platform is on a ledge to the southeast. Race to the ring at the top of the enemy encampment.,Korok230.jpg
231,食物祭品,text,特托拉平原,"-421.0, 3369.6",,,Offer an apple to the offering bowl that's missing one.,Korok231.jpg
232,其他,text,珊湖,"-94.4, 3130.4",,,"The rock needed to complete this x-shaped puzzle is hidden in a nearby bush to the east. If you have a weapon that cuts grass/bushes, this will make it much easier to find.",Korok232.jpg
233,推石入坑,text,Lake Hylia (Breath of the Wild),"220.0, 2865.0",,,Roll the boulder into the hole.,Korok233.jpg
234,精灵光点,text,Lake Hylia (Breath of the Wild),"174.4, 2903.6",,,Catch the fairy lights.,Korok234.jpg
235,磁铁·方块拼图,text,Lake Hylia (Breath of the Wild),"201.0, 2606.0","287.9, 2261.1",是,"Surrounding this rock are a square pattern of large metal cubes in the water . One is out of place. Use Cryonis to reach it, and Magnesis to move it into place.",Korok235.jpg
236,搬石头,text,Bridge of Hylia (Breath of the Wild),"-2.4, 2613.0",,,Pick up the rock at the ruins of the broken pillar.,Korok236.jpg
237,赛跑·树桩,text,贝莱平原,"1398.0, -856.4","1585.2, -719.4",是,Uphill to the southeast is a shield vendor who talks about shield surfing. This should be a hint. In the tree above him is the seed platform to start the race. Shield surf down to the marker for your seed.,Korok237.jpg
238,追花,text,Bridge of Hylia (Breath of the Wild),"-12.0, 2582.0",,,Follow the flower trail down the side of the broken pillar.,Korok238.jpg
239,赛跑·树桩,text,东阿卡莱驿站,"4181.0, -2540.4","4069.0, -2462.2",是,The seed platform is to the southwest next to a dead guardian. Race to the ring.,Korok239.jpg
240,射箭·射靶,text,北阿卡莱平原,"3737.0, -2883.6","3572.9, -3046.9",是,Shoot the acorn tucked inside this hollow log.,Korok240.jpg
241,追花,text,克洛伊达高地,"2105.0, 2724.0","2043.6, 2660.8",是,Follow the yellow flower trail. It begins on the hill just northwest of the end mark. Note that the final yellow flower before the end hides on the edge of the cliff.,Korok241.jpg
242,追花,text,花柔利亚大瀑布,"1803.6, 3220.0","1737.6, 3204.0",是,Follow the flower trail that starts on the pillar to the west.,Korok242.jpg
243,垒石·石圈,text,奈弗拉高地,"-2080.0, 1480.4",,,"There are three very large rock circles, with smaller circles of rocks within them. Take the stray rock from between the 3 large boulders in the southern huge circle, and put it in the middle of the smallest circle of rocks in the northern huge circle.",Korok243.jpg
244,搬石头,text,塔尔塔尔台地,"4236.0, -211.6",,,Lift the stone hidden behind the bombable rocks.,Korok244.jpg
245,搬石头,text,格鲁德峡谷 入口,"-1720.0, 2240.4",,,Lift up the iron ball and put it into the well.,Korok245.jpg
246,精灵光点,text,阿拉布平原,"2685.0, 567.0",,,Chase and catch the fairy lights circling the pond.,Korok246.jpg
247,磁铁·方块拼图,text,贝利尔雪原,"-4353.0, 711.6",,,Solve the block puzzle. The block is downhill to the west.,Korok247.jpg
248,磁铁·方块拼图,text,贝立德关卡,"-1931.0, 3244.4",,,Solve the Magnesis block puzzle.,Korok248.jpg
249,赛跑·树桩,text,南洛美城堡遗迹,"-1996.4, 3619.6","-2018.3, 3437.2",是,The seed platform for this race is on the larger plateau to the north.,Korok249.jpg
250,搬石头,text,摩尔迦娜山,"-1525.6, 3406.4",,,Pick up the rock.,Korok250.jpg
251,冰块,text,南洛美城堡遗迹,"-1611.6, 3677.0",,,Melt the ice.,Korok251.jpg
252,追花,text,帕鲁荒原,"-3106.0, 2882.0","-3498.9, 2952.6",是,Follow the flower trail across the ribs.,Korok252.jpg
253,追花,text,帕鲁荒原,"-3437.0, 2979.0","-3063.7, 2905.9",是,This flower trail goes back and forth to the various rocks in the area.,Korok253.jpg
254,食物祭品,text,西格鲁德,"-4226.0, 2740.0",,,One cactus has too many voltfruit. Make it look like the other two.,Korok254.jpg
255,追花,text,格鲁德小镇,"-4195.0, 3090.0","-4171.2, 3058.9",是,Follow the flower trail across the ribs.,Korok255.jpg
256,搬石头,text,Arbiter's Grounds (Breath of the Wild),"-4159.6, 3825.0",,,Pick up the rock.,Korok256.jpg
257,食物祭品,text,龙之流放地,"-4864.4, 3262.0",,,Remove fruit from the cactus with extra until it matches.,Korok257.jpg
258,磁铁·方块拼图,text,哈特诺堡垒,"2320.4, 1725.0",,,"Lift the metal door with Magnesis, then the little rock with your bulging muscles.",Korok258.jpg
259,搬石头,text,忘却神殿,"-1410.0, -2305.6",,,Blow up the cracked boulders on top of the temple entrance and lift up the small rock hidden underneath.,Korok259.jpg
260,磁铁·方块拼图,text,忘却神殿,"-1415.0, -2220.4",,,"Use Magnesis to move the metal door away, then lift up the small rock hidden underneath.",Korok260.jpg
261,搬石头,text,忘却神殿,"-1581.6, -2128.4",,,Under a rock on top of the pillar.,Korok261.jpg
262,精灵光点,text,托西奇池塘,"2408.0, 2513.0",,,Catch the fairy lights.,Korok262.jpg
263,射气球,text,花柔利亚桥,"1739.0, 3453.0",,,Stand near the pinwheel and shoot all three balloon targets.,Korok263.jpg
264,跳水环,text,托西奇池塘,"2303.0, 2380.0",,,Jump or dive into the ring of flowers in the water.,Korok264.jpg
265,搬石头,text,布伊达湖,"1815.0, 3743.6",,,Lift the rock.,Korok265.jpg
266,彩色花·按序踩,text,凯波拉岭,"4109.0, -1351.0",,,Run through the yellow flower patches in order from 1 to 5. Patch 5 is in the tree behind patch 4.,Korok266.jpg
267,食物祭品,text,卡伊更台地,"3231.6, 1547.0",,,Remove apples from the tree with too many until it looks like the other two.,Korok267.jpg
268,磁铁·方块拼图,text,乌拉伊特湖,"1774.0, 2933.6",,,Use Magnesis to lift the chained metal boulder into the center of the stone pillars.,Korok268.jpg
269,搬石头,text,罗达伊湖,"1801.0, 3157.6",,,Halfway down the northern waterfall there's a ledge with a rock. Pick up the rock.,Korok269.jpg
270,冰块,text,摩尔达巴山,"-1356.4, 3672.4",,,Melt the ice.,Korok270.jpg
271,搬石头,text,摩尔迦娜山,"-1376.4, 3328.4",,,"Climb the pillar, pick up the rock.",Korok271.jpg
272,精灵光点,text,鸟鸣草原,"-725.0, 133.6",,,Catch the fairy lights.,Korok272.jpg
273,赛跑·树桩,text,泰荷塔湿地,"-658.0, 3852.0","-597.9, 3845.4",是,The seed platform is on the tree just to the east. Race to the ring.,Korok273.jpg
274,赛跑·树桩,text,北部冰屋,"-3752.0, 2531.6","-3757.1, 2445.9",是,"Climb up to the seed platform a short bit to the north, then race to the ring.",Korok274.jpg
275,食物祭品,text,勇萨米平原,"2293.6, 3028.0",,,Put an apple in the empty basket near the statue so that both baskets match.,Korok275.jpg
276,磁铁·方块拼图,text,克拉尔湖,"2031.6, 3168.0","1766.2, 2936.5",是,Solve the Magnesis block puzzle. The block you need is in the lake.,Korok276.jpg
277,跳水环,text,哈希毕罗湖,"-3152.0, -1563.0",,,Jump/dive into the ring of water lilies.,Korok277.jpg
278,追花,text,阿迪亚湖,"399.0, 2151.0","468.2, 1717.4",是,The flower trail starts in the stump to the west.,Korok278.jpg
279,精灵光点,text,阿迪亚湖,"476.0, 2148.0",,,Catch the fairy lights.,Korok279.jpg
280,追花,actor,巴美山丘,"-4064.4, -1679.0","-3968.9, -1671.4",是,"The first flower in this trail is southeast of the Voo Lota Shrine location, just past the tree.",Korok280.jpg
281,搬石头,text,龙骨沼泽,"-4224.0, -1744.0",,,Under a rock under a pile of leaves.,Korok281.jpg
282,垒石·石圈,text,兄弟岩,"-4036.0, -1746.0",,,Complete the stone circle.,Korok282.jpg
283,跳水环,text,塔玛湖,"-2976.0, -1875.6",,,Dive or jump into the circle of water lilies.,Korok283.jpg
284,赛跑·树桩,text,终焉の谷,"-1631.6, -515.0","-1787.7, -377.9",是,"Stand on the seed platform found on the large cliff southwest of here (jutting out from the eastern cliff face), and then race to the ring before the time runs out.",Korok284.jpg
285,精灵光点,text,雷之台地,"-2317.6, -805.6",,,Catch the fairy lights that run around in the area.,Korok285.jpg
286,磁铁·方块拼图,text,查波雪原,"-3225.6, 1020.4",,,Solve the block-puzzle by using Magnesis.,Korok286.jpg
287,垒石·石圈,text,卢驰尔湖,"-2543.6, 640.4",,,Throw a rock into the circle of rocks in the pond.,Korok287.jpg
288,磁铁·方块拼图,text,卢驰尔湖,"-2493.6, 591.6",,,Put two magnetic rocks into two hollowed out tree stumps.,Korok288.jpg
289,彩色花·按序踩,text,卢驰尔湖,"-2478.4, 547.0",,,"Run through each of the flower bunches in order from least to most. To reach the fourth flower bunch inside the hollow tree surrounded by thorns you can burn away the thorns, or glide down from a nearby tree.",Korok289.jpg
290,搬石头,text,卢驰尔湖,"-2482.0, 504.0",,,"Blow up the boulders, pick up the rock.",Korok290.jpg
291,垒石·石圈,text,泰阿蒙河,"-2450.4, 372.4",,,Complete the circle of rocks.,Korok291.jpg
292,精灵光点,text,更格尔山丘,"703.6, -811.6",,,Climb up the dead tree in in the hollow stump next to the shrine. Examine the fairy lights at the top.,Korok292.jpg
293,推石入坑,text,鼓大河,"1414.0, -1762.4",,,Roll a boulder into the pond below.,Korok293.jpg
294,追花,actor,拉鲁特大桥,"3123.0, -19.0","2984.5, -177.1",是,,Korok294.jpg
295,垒石·石圈,text,贝弗岛,"2751.6, -1676.0",,,Find a nearby small rock just to the west underneath a Bokoblin camp. Bring it over to the stone circle and drop it in place to reveal the Korok.,Korok295.jpg
296,赛跑·树桩,text,盖洛湖,"2407.6, -1613.6","2330.1, -1486.4",是,"The seed platform is to the southwest, at the top of the tall rock pillar arching over the road. Race to the ring.",Korok296.jpg
297,跳水环,text,丘萨茨湖,"1939.6, -1217.0",,,Dive into the circle below.,Korok297.jpg
298,磁铁·方块拼图,text,贝莱平原,"1695.0, -860.4",,,"Use Magnesis on the metal cube that's in the nearby broken down house. Match the box puzzle, making the patterns identical.",Korok298.jpg
299,射箭·射靶,text,吉萨山丘,"-3716.0, -1039.0",,,Under a rock behind corrupted area. Shoot the eye to clear the Malice.,Korok299.jpg
300,磁铁·方块拼图,text,希麦加米河,"-1501.0, 154.4",,,Solve the cube puzzle. The cube is in the water.,Korok300.jpg
301,磁铁·方块拼图,text,Spectacle Rock (Breath of the Wild),"-2302.4, 2560.4",,,Solve the Magnesis block puzzle.,Korok301.jpg
302,磁铁·方块拼图,text,东部格鲁德遗迹,"-2594.0, 2541.0",,,Solve the Magnesis block puzzle.,Korok302.jpg
303,搬石头,text,格鲁德峡谷驿站,"-2814.0, 2248.4",,,"Climb the thin rock pillar next to Gerudo Stables, and lift the rock.",Korok303.jpg
304,搬石头,text,娜波露山,"-2018.4, 2186.4",,,Lift up the small rock.,Korok304.jpg
305,射箭·射靶,text,杜艾斯岛,"1737.0, 85.6",,,Shoot the hanging acorn.,Korok305.jpg
306,垒石·石圈,text,吉萨的环形山,"-4010.4, -1162.4",,,Put a rock in the middle of the stone rings.,Korok306.jpg
307,磁铁·方块拼图,text,吉萨的环形山,"-3971.0, -921.0",,,Use Magnesis to put the iron ball in the treestump.,Korok307.jpg
308,食物祭品,text,路茨平原,"-4058.4, -774.4",,,Put apples in all offering bowls that are missing one.,Korok308.jpg
309,搬石头,text,路茨平原,"-3966.4, -625.0",,,Under a rock on top of a stone pillar.,Korok309.jpg
310,彩色花·按序踩,actor,库库甲谷,"-4037.6, -348.0",,,Run through the patches of flowers 1-5.,Korok310.jpg
311,垒石·石圈,text,库库甲谷,"-4027.0, -232.4",,,Complete the circle of rocks.,Korok311.jpg
312,搬石头,text,利利特特湖,"-3421.0, -2068.0",,,Under the rock.,Korok312.jpg
313,跳水环,text,古代石柱群,"-3519.0, -450.4","-3433.0, -708.2",是,Dive/jump into the circle of water lilies.,Korok313.jpg
314,射气球,text,吉希山丘,"-3444.4, -663.6",,,Stand next to the pinwheel and shoot down all five balloon targets.,Korok314.jpg
315,食物祭品,text,吉希山丘,"-3430.4, -710.0",,,"Under the overhang in the cave, fill the remaining bowls with an apple.",Korok315.jpg
316,垒石·石圈,text,乌洛克海角,"3442.4, 3123.6",,,Complete the rock circle. The rock is in the direction of the open gap (west).,Korok316.jpg
317,搬石头,text,三殿,"-389.6, -783.6",,,Pick up the rock.,Korok317.jpg
318,其他,manual,萨尔达的房间,"-327.6, -1008.4",,,,Korok318.jpg
319,射气球,text,巴奇平原,"-919.6, -1622.4",,,"From on top of the well, shoot the balloons as they fly behind the trees.",Korok319.jpg
320,磁铁·方块拼图,text,哈希毕罗湖,"-3443.0, -1324.4",,,Box Puzzle. Make the two patterns identical using Magnesis on the metal box.,Korok320.jpg
321,追花,actor,海布拉河,"-2750.4, -2255.0","-2723.2, -2263.2",是,Follow the trail of flowers across the stone crossing.,Korok321.jpg
322,推石入坑,text,马神桥,"525.0, 3679.6",,,"Directly to the north, wedged between two cliffs are some boulders. Roll one of them down the small ravine and into the hole.",Korok322.jpg
323,搬石头,text,千之中洲,"1981.6, 454.0",,,"Climb the tree, pick up the rock.",Korok323.jpg
324,垒石·石圈,text,荷隆湾,"4197.6, 461.0",,,Throw a rock into the circle of rocks.,Korok324.jpg
325,搬石头,text,茹特拉河,"2379.0, 376.0",,,"Climb the tree, lift the rock.",Korok325.jpg
326,射气球,text,阿拉布平原,"2471.0, 463.6",,,"Stand near the pinwheel, shoot the nearby flying acorns.",Korok326.jpg
327,搬石头,text,茹特拉河,"2637.6, 373.6",,,"Climb the tree, lift the rock.",Korok327.jpg
328,精灵光点,text,阿拉布平原,"2890.0, 517.0",,,Climb the tallest tree and examine the fairy lights at the top.,Korok328.jpg
329,食物祭品,text,阔塔台地,"2129.6, 679.0",,,One tree has too many apples. Make it look like the others.,Korok329.jpg
330,搬石头,text,萨托利山,"-2286.0, 469.0",,,Under a rock under a pile of leaves.,Korok330.jpg
331,食物祭品,text,拉聂尔参道西口,"2240.0, 725.6",,,Drop an apple in the offering bowl.,Korok331.jpg
332,推石入坑,text,拉聂尔参道西口,"2411.6, 851.6","2496.0, 892.1",是,Bowl the boulder into the hole. The boulder is uphill to the southeast.,Korok332.jpg
333,冰块,text,拉聂尔群山,"3899.0, 1557.6",,,Melt the block of ice. Cold Resistance Level 2 recommended.,Korok333.jpg
334,垒石·石圈,text,拉聂尔台地,"2727.0, 906.0",,,Push the center boulder to where it belongs.,Korok334.jpg
335,赛跑·树桩,text,凯亚池塘,"3526.0, 1710.4","3736.0, 1686.9",是,"This seed starts at a seed platform next to the tree on the peak to the east of this location. Start the race, then quickly glide and climb over to the closer tree. Climb to the very top of this tree, and then glide to the ring to get the seed. Cold Resistance Level 2 recommended.",Korok335.jpg
336,垒石·石圈,text,拉聂尔湾,"3383.0, 983.0",,,Put a rock in the gap to finish the circle. The rock you need is to the northwest.,Korok336.jpg
337,精灵光点,text,飞行训练场,"-3792.4, -2319.6",,,Fairy lights on top of the hut.,Korok337.jpg
338,搬石头,text,乌尔希池塘,"3708.0, 1941.0",,,"Climb to the top of the tree in the middle of the lake, and pick up the rock.",Korok338.jpg
339,赛跑·树桩,text,洁净池塘,"3433.0, 1150.4","3439.1, 1100.8",是,"Stand on the leaf stump (located north and slightly east), and then race to the circle before time runs out. Cold Resistance Level 2 recommended.",Korok339.jpg
340,跳水环,text,拉聂尔参道中央广场,"2632.4, 1113.6",,,Jump or dive into the circle of water lilies.,Korok340.jpg
341,垒石·石圈,text,法兰台地,"2525.6, 1258.0",,,Place a rock to finish the circle. The rock you need is to the east.,Korok341.jpg
342,食物祭品,text,本拉斯树海,"1410.4, 3201.6",,,Place a Hearty Durian in the leaf at the base of the easternmost statue.,Korok342.jpg
343,搬石头,text,阿卡莱古代研究所,"4429.6, -3182.0",,,Pick up the rock near the pile of dead guardians.,Korok343.jpg
344,跳水环,text,齐纳嘉莱湿地带,"-2008.0, -514.4",,,Jump or dive into the circle of water lilies.,Korok344.jpg
345,搬石头,text,死亡之山登山口,"2505.6, -1303.6",,,Blast the boulders then pick up the small rock.,Korok345.jpg
346,精灵光点,text,聂尔龙雪原,"3539.0, 1374.4",,,Fairy Lights are circling the location. Catch them. Cold Resistance Level 2 recommended.,Korok346.jpg
347,跳水环,text,戴比岛,"4625.0, -635.6",,,Jump into the ring of water lilies.,Korok347.jpg
348,搬石头,text,阿克伦岛,"4699.6, -1001.6",,,"Climb the small pillar, pick up the small rock.",Korok348.jpg
349,搬石头,text,阿克伦岛,"4704.4, -1036.4",,,Pick up the rock on the wooden platform just down the cliff.,Korok349.jpg
350,追花,text,奇克伦岛,"4704.4, -1353.0","4635.9, -1836.4",是,The flower trail starts on the southwest side of the hill. Follow it to the peak.,Korok350.jpg
351,追花,text,玛林湾,"4636.0, -1836.4","4683.9, -1340.3",是,This long distance flower trail starts all the way at the top of the hill to the southwest. Specifically beginning at the end of the broken staircase in the ruins on top of the hill.,Korok351.jpg
352,磁铁·方块拼图,text,玛林湾,"4695.0, -1776.4",,,Solve the block puzzle. The cube is located on top of the ruins to the west.,Korok352.jpg
353,赛跑·树桩,text,玛林湾,"4357.0, -1528.0","4349.1, -1496.8",是,"Activate the timer by standing on the seed platform, then quickly race to the top of the two angled pillars and jump off before the time runs out.",Korok353.jpg
354,射气球,text,牢房,"-382.4, -1108.4",,,Find the pinwheel on the far end of the castle wall. Shoot five balloons to reveal the Korok.,Korok354.jpg
355,赛跑·树桩,text,主殿,"-254.0, -994.4","-254.0, -1044.5",是,The seed platform is on the Sanctum balcony. Reach the spire before time runs out.,Korok355.jpg
356,射气球,text,主殿,"-255.6, -1055.0","-381.9, -1110.6",是,"In the tower at the top of the castle, shoot the balloon hiding above the bell.",Korok356.jpg
357,精灵光点,text,主殿,"-251.0, -1064.4",,,Climb the castle to the very top of the spire and examine the fairy lights.,Korok357.jpg
358,射箭·射靶,actor,二殿,"-157.6, -872.0","-214.1, -751.0",是,Climb to the top of the spire on the roof of the Second Gatehouse.,Korok358.jpg
359,射箭·射靶,text,二殿,"-166.0, -859.6","-214.1, -751.0",是,"From outside, head through the Dining Hall and into the corridor on the other side. From there, follow the left wall to find a bombable wall in a corridor before the next room. Break it and shoot the acorn hanging above the statue holding the Rusty Claymore, to reveal a Korok.",Korok359.jpg
360,搬石头,text,阿卡莱古代研究所,"4426.0, -3332.0",,,Blow up the wall to reveal the rock.,Korok360.jpg
361,彩色花·按序踩,actor,北阿卡莱海岸,"4818.4, -3094.4","4733.0, -3122.0",是,Follow the order of the flowers. The first flower is on the dead guardian next to the group of two flowers.,Korok361.jpg
362,磁铁·方块拼图,text,东阿卡莱海岸,"4509.6, -2643.6",,,Finish the magnetic block puzzle with the block submerged to the east.,Korok362.jpg
363,垒石·石圈,text,智慧之泉,"4088.0, 1142.4",,,Place a rock to complete the circle. The rock you need is to the east by some bare trees; use Stasis to help you find it. Cold Resistance Level 2 recommended.,Korok363.jpg
364,射气球,text,死亡之山登山口,"2409.0, -1226.4",,,A balloon is next to some of the supports for the rock bridge. Shoot it to get the seed.,Korok364.jpg
365,彩色花·按序踩,text,深远阿卡莱平原,"3815.6, -3418.4",,,Run through the flowers in order.,Korok365.jpg
366,垒石·石圈,text,拉聂尔湾,"3951.6, 695.0",,,Use the nearby rock to complete the circle.,Korok366.jpg
367,赛跑·树桩,text,沃尔纳特山,"4282.4, 1655.6","4079.9, 1716.6",是,The race starts west of the seed's location. You can face the nearby shrine and climb the snow path to the right up a ways to find the seed platform which starts the race.,Korok367.jpg
368,搬石头,text,凯亚池塘,"3474.0, 1917.6",,,"Climb the tree, lift the rock.",Korok368.jpg
369,跳水环,text,卡艾德半岛,"4543.6, 2405.6","4213.8, 2271.9",是,Jump into the ring of water lilies.,Korok369.jpg
370,磁铁·方块拼图,text,芬拉斯树海,"581.0, 3007.0",,,Use Magnesis to move the iron boulder into the dug out tree stump.,Korok370.jpg
371,跳水环,text,艾奇斯帕森林,"3901.6, 2098.0","4209.9, 2271.9",是,"Jump, dive, or fall into the ring of water lilies.",Korok371.jpg
372,搬石头,text,乌克池塘,"-4340.4, -2354.4",,,Under the rock.,Korok372.jpg
373,磁铁·方块拼图,text,阿迪亚湖,"285.0, 2256.4",,,Use Magnesis to move the chained rock into the stump.,Korok373.jpg
374,磁铁·方块拼图,text,贾拉湖,"2863.6, 2183.0",,,Seed is under a metal door in the middle of some ruins.,Korok374.jpg
375,追花,text,沃尔纳特山,"4271.6, 1980.4","4131.1, 2002.0",是,The flower trail to this seed starts at the top of the hill directly to the west. Cold Resistance Level 2 recommended.,Korok375.jpg
376,跳水环,text,葛亚娜峡谷,"3291.0, 3345.0",,,Jump or dive into the circle of lilies in the water.,Korok376.jpg
377,追花,text,哈特诺湾,"4111.6, 2587.0","4594.9, 2520.4",是,This short flower trail begins on the coast on the way to the seed.,Korok377.jpg
378,跳水环,text,克莱西亚半岛,"3363.6, 3656.0",,,Dive into the circle of floating seaweed.,Korok378.jpg
379,垒石·石圈,text,艾波尼山,"3516.0, 2629.6",,,Drop a rock to complete the circle. The rock is downhill in the direction of the open spot (southwest).,Korok379.jpg
380,搬石头,text,乌洛克海角,"3641.6, 3261.0",,,Just below the top of the cliff is a small ledge with a rock. Pick it up.,Korok380.jpg
381,精灵光点,text,利科纳半岛,"1690.0, 667.0",,,Catch the fairy lights.,Korok381.jpg
382,搬石头,text,乌克池塘,"-4072.4, -2545.6",,,Under a rock behind some destructible rocks.,Korok382.jpg
383,推石入坑,text,忘却神殿,"-1416.0, -2395.0",,,Roll a giant boulder from uphill to the south down into the dug out pit.,Korok383.jpg
384,食物祭品,text,科嘉奈亚池塘,"3233.0, 2848.4",,,Remove apples from the tree with many to have it match the other two.,Korok384.jpg
385,垒石·石圈,text,库姆的秘泉,"-4155.0, -2613.0",,,Complete the spiral rock pattern.,Korok385.jpg
386,射箭·射靶,text,多尔米森林,"3145.6, 2238.0","2834.5, 2120.2",是,Shoot the acorn hidden in the tree trunk.,Korok386.jpg
387,搬石头,text,贾拉湖,"2990.4, 2274.0",,,Pick up this rock.,Korok387.jpg
388,搬石头,text,海布拉山西岳,"-4424.0, -3218.0",,,Under the rock.,Korok388.jpg
389,跳水环,text,库斯湖,"3033.6, 2024.4",,,Jump or fall into the ring of water lilies.,Korok389.jpg
390,射气球,text,海布拉冻原,"-3352.4, -2992.0",,,Stand next to the pinwheel and shoot the three balloons. Cold Resistance Level 2 recommended,Korok390.jpg
391,食物祭品,text,马布尔德平原,"2810.0, 2390.4",,,One of the trees has too many apples. Remove them until it matches the other two.,Korok391.jpg
392,射箭·射靶,text,马布尔德平原,"2715.6, 2343.0","2834.5, 2120.2",是,Shoot the acorn in the tree.,Korok392.jpg
393,射气球,text,贾拉湖,"2835.6, 2120.0",,,"The nearby dirt road makes a loop; along that loop are 10 signs with bullseye targets. Shoot them all. Back at the cabin, a balloon will appear, shoot it too for the seed.",Korok393.jpg
394,搬石头,text,海布拉山山顶,"-2785.0, -2894.0",,,Under a rock. Cold Resistance Level 2 recommended,Korok394.jpg
395,搬石头,text,海布拉山山顶,"-2835.0, -2832.0",,,Under a rock hidden beneath the snowy hill formation. Cold Resistance Level 2 recommended,Korok395.jpg
396,推石入坑,text,谢拉湖,"2279.6, 1502.4","2345.4, 1529.6",是,Roll the boulder into the hole. Boulders are uphill to the east.,Korok396.jpg
397,磁铁·方块拼图,text,阿德亚村遗迹,"323.6, 1924.4",,,Use Magnesis to move the chained rock into the well.,Korok397.jpg
398,射箭·射靶,text,阿卡莱湖,"4098.4, -1755.6",,,Pick up the rock to the east of here and place it in the missing spot in the ring of boulders.,Korok398.jpg
399,搬石头,text,谢拉湖,"2274.0, 1604.0",,,"Blow up the rocks here, then pick up the one under them.",Korok399.jpg
400,射箭·射靶,text,默米河,"2884.4, 1762.4","3154.2, 1801.9",是,Shoot the acorn in the tree.,Korok400.jpg
401,精灵光点,text,西海拉鲁平原,"-1692.0, -168.4",,,Catch the fairy lights.,Korok401.jpg
402,追花,text,希麦加米河,"-1148.4, -223.0","-1154.6, 245.0",是,Follow the flowers up the bridge support and to the left.,Korok402.jpg
403,赛跑·树桩,text,骷髅池塘,"3152.4, -3328.4","3170.8, -3317.5",是,"Look to the southeast of the marker, one ledge down, to find the seed platform. Race up the cliff to the circle.",Korok403.jpg
404,追花,text,科尔奈海滩,"3027.0, 3654.0","2941.7, 3430.5",是,"Follow the yellow flower trail. It begins east of the mark in the middle of a group of trees, and zigzags a little, going out of the circle of trees then returning nearby.",Korok404.jpg
405,垒石·石圈,text,克拉里海滩,"2505.6, 3827.6",,,Complete the heart shaped rock formation.,Korok405.jpg
406,搬石头,text,八爪怪森林,"3353.0, -3080.4",,,Pick up the rock on top of the large tree.,Korok406.jpg
407,垒石·石圈,text,骷髅池塘,"3327.0, -3588.4",,,Complete the stone circle with a rock by the nearby Bokoblin camp to the north. It will be next to one of the wooden pillars.,Korok407.jpg
408,垒石·石圈,text,哈拉亚池塘,"278.0, 3503.6",,,Complete the rock pattern. The rock you need is just downhill.,Korok408.jpg
409,垒石·石圈,text,科尔奈海滩,"2856.4, 3652.4",,,Put three rocks in the big circular stone formation from the smaller rock formations around it.,Korok409.jpg
410,搬石头,text,乌波茨台地,"1514.4, 3723.6",,,Pick up the stone on the small ledge.,Korok410.jpg
