=== r3 译名核对表（以 Location.xml L4 为锚） ===
label | 英文显示名 | loc(x,z) | r3现有名(距) | ali213名(距) | r4名(距)
NutsLake | Lake Saria | 64,-1883 | 纳茨湖(0) | 萨里阿湖(5) | 萨里阿湖(5)
OkuAkkarePlain | Akkala Wilds | 3744,-3349 | 奥库阿卡莱平原(0) | 阿卡莱荒原(5) | 阿卡莱荒原(5)
OkuwaLake | Lake Siela | 1628,1384 | 奥库瓦湖(0) | 伊尔奇平原(5) | 伊尔奇平原(5)
OngiForest | Applean Forest | 553,-289 | 翁吉森林(0) | 艾普林森林(2) | 艾普林森林(2)
OoosePlain | Oseira Plains | -779,3564 | 大濑平原(0) | 奥赛拉平原(2) | -(314!)
OrupaPlateau | Laparoh Mesa | -2940,1207 | 奥鲁帕台地(0) | 拉帕罗平顶山(2) | 拉帕罗平顶山(1)
OshoromaLake | Ruto Lake | 3171,-163 | 露朵湖(0) | 露托湖(3) | 露托湖(3)
OtsukoWet | Torin Wetland | 3601,-1637 | 奥楚科湿地(0) | 托林湿地(3) | 托林湿地(3)
PafaBeach | Puffer Beach | 232,3897 | 帕法海滩(0) | 普弗尔海滩(0) | -(266!)
PaiyuBay | Horon Lagoon | 4234,314 | 派尤湾(0) | 霍隆咸水湖(6) | 霍隆咸水湖(6)
PakanchiIsland | Knuckel Island | 4653,-816 | 帕坎奇岛(0) | 纳克尔岛(9) | 纳克尔岛(9)
PaparaPlateau | Stalry Plateau | -1572,2715 | 帕帕拉台地(0) | 拉维拉海滩(5) | -(319!)
PearlWaste | Palu Wasteland | -3118,2982 | 帕鲁荒地(0) | 帕鲁荒原(8) | 帕鲁荒原(8)
PeridoBarrier | Champion's Gate | -2042,3194 | 佩里多屏障(0) | 阿卡莱古代研究所(6) | -(412!)
PongagaMt | Ebon Mountain | 3351,2531 | 蓬加加山(0) | 埃本山(7) | 埃本山(7)
PoponMt | Satori Mountain | -2229,338 | 萨托利山(0) | 萨托利山(4) | -(283!)
PstaLake | Mido Swamp | 812,-2354 | 普斯塔湖(0) | 美多沼泽(3) | 美多沼泽(3)
PukiroroMt | Zodobon Highlands | 2729,119 | 普基罗罗山(0) | 左多邦高地(12) | 左多邦高地(11)
PukuntoMt | Bottomless Swamp | 613,566 | 普昆托山(0) | 无底沼泽(2) | 无底沼泽(2)
PupukoreFalls | Veiled Falls | 3083,-456 | 普普科雷瀑布(0) | 蒙面瀑布(9) | 蒙面瀑布(9)
RaberaWet | Rabella Wetlands | 2420,2782 | 拉贝拉湿地(0) | 拉贝拉湿地(2) | -(123!)
RapikuruPlateau | Ja'Abu Ridge | 3910,58 | 拉皮库鲁台地(0) | 贾阿布山脊(1) | 贾阿布山脊(1)
RapinyaPlateau | Ruto Precipice | 3409,-235 | 拉平亚台地(0) | 路托悬崖(3) | 路托悬崖(3)
RaruLake | Calora Lake | 2020,3216 | 拉鲁湖(0) | 卡罗拉湖(7) | 卡罗拉湖(7)
RashamaPlain | North Hyrule Plain | -1339,-784 | 拉沙玛平原(0) | 北海拉鲁平原(11) | 北海拉鲁平原(11)
RazezePlateau | Lanayru Heights | 2799,918 | 拉泽泽台地(0) | 拉奈鲁高地(6) | 拉奈鲁高地(6)
RiaroTrees | Hickaly Woods | 1951,2442 | 里亚罗树林(0) | 希卡利森林(7) | -(244!)
RiberaForest | Ebara Forest | 1885,3326 | 里贝拉森林(0) | 埃巴拉森林(3) | 埃巴拉森林(3)
RibuchaPlateau | Aldor Foothills | -736,-2080 | 里布查台地(0) | 阿尔多山麓(1) | 阿尔多山麓(2)
Rikona_Peninshra | Rikoka Hills | 1606,680 | 里科纳半岛(0) | 里科卡山(14) | 里科卡山(14)
RinosPass | Dronoc's Pass | -3793,-2236 | 里诺斯隘口(0) | 德罗诺克通道(3) | 德罗诺克通道(3)
RirimukuHighlands | Drenan Highlands | -344,-3121 | 里里穆库高地(0) | 德雷纳高地(3) | 德雷纳高地(3)
RirimukuMt | Mount Drena | -561,-2635 | 里里穆库山(0) | 德雷纳山(8) | 德雷纳山(8)
RiritotoLake | Lake Totori | -3608,-1941 | 里里托托湖(0) | 托托里湖(1) | -(337!)
RishakutoPlateau | Pillars of Levia | 1850,1244 | 里沙库托台地(0) | 列维亚柱(10) | -(260!)
RodaiLake | Rodai Lake | 1864,3130 | 罗代湖(0) | 罗达伊湖(1) | -(161!)
RogyLake | Lake Jarrah | 2967,2224 | 罗吉湖(0) | 雅拉湖(10) | 雅拉湖(10)
RokomakuMt | Madorna Mountain | 3822,1689 | 罗科马库山(0) | 马多纳山(3) | 马多纳山(4)
RonronFarm | Ranch Ruins | 110,272 | 隆隆牧场(0) | 牧场废墟(5) | 牧场废墟(5)
RonronRiver | Hylia River | 126,1755 | 隆隆河(0) | 塔塔尔峰(4) | 塔塔尔峰(4)
RonronRiver | Hylia River | 338,-657 | 罗玛尼平原(299!) | 塔塔尔峰(8) | -(83!)
RonronRiver | Hylia River | 819,413 | 普昆托山(257!) | 塔塔尔峰(4) | -(257!)
RoshiganLake | South Nabi Lake | 870,1604 | 罗希甘湖(0) | 拉奈鲁大道(5) | -(190!)
RosomaLake | Toto Lake | 3479,-884 | 罗索马湖(0) | 达瓦尔峰(4) | 达瓦尔峰(5)
RuberaHill | Cliffs of Ruvara | -3392,610 | 鲁贝拉山丘(0) | 鲁瓦拉悬崖(4) | 鲁瓦拉悬崖(4)
RutesLake | Corta Lake | 1686,3089 | 鲁特斯湖(0) | 科塔湖(6) | 科塔湖(5)
RutimaHill | Rutimala Hill | -4527,1417 | 鲁蒂马山丘(0) | 鲁提玛拉山(2) | 鲁提玛拉山(2)
RutsuPlain | Rayne Highlands | -3806,-481 | 鲁楚平原(0) | 雷恩高地(2) | 雷恩高地(2)
SaiMt | Mount Gustaf | -915,-211 | 赛山(0) | 莱恩贝克岛(6) | -(315!)
SanaePlateau | Hills of Baumer | 430,1760 | 早苗台地(0) | 鲍默山(9) | 鲍默山(8)
SanrosaLake | Pico Pond | 1202,-1144 | 桑罗萨湖(0) | 皮克池塘(5) | 皮克池塘(5)
SaohPoint | Ternio Trail | 2688,-764 | 萨奥夫岬(0) | 特尔尼欧小径(4) | 特尔尼欧小径(3)
SaphiasPlateau | Sapphia's Table | -3170,1574 | 萨菲亚斯台地(0) | 萨菲亚平地(5) | 萨菲亚平地(6)
SarjonForest | Sarjon Woods | 1132,3279 | 萨鲁容森林(0) | 萨尔约森林(5) | 萨尔约森林(5)
SasamuroBeach | Clarnet Coast | 2585,3897 | 笹室海滩(0) | 克拉内特海岸(5) | 克拉内特海岸(5)
ShariverMt | Talonto Peak | -3172,-2682 | 沙里瓦山(0) | 塔隆托峰(1) | 塔隆托峰(2)
ShikuriIslands | Wintre Island | 4521,1006 | 希库里群岛(0) | 温特岛(4) | 温特岛(3)
ShimukaPlateau | Robred Dropoff | 2700,1571 | 希穆卡台地(0) | 马普拉点(2) | -(233!)
ShinikkyoForest | Giant's Forest | -1185,114 | 希尼基奥森林(0) | 巨人森林(3) | 巨人森林(3)
ShinyarkiPlateau | Rauru Hillside | 498,-1538 | 希尼亚鲁基台地(0) | 拉乌鲁山腰(5) | 拉乌鲁山腰(5)
ShitanoPond | Firly Pond | 3266,2227 | 下之池(0) | 海利亚大桥（荒野之息）(5) | 海利亚大桥（荒野之息）(5)
SojijiHill | Safula Hill | -1756,857 | 索吉吉山丘(0) | 萨夫鲁山(3) | 萨夫鲁山(3)
SonoPrairie | Trilby Plain | 1392,-915 | 索诺草原(0) | 特列比平原(2) | 特列比平原(2)
SoridaPeninsula | Tingel Island | 4706,-1374 | 索里达半岛(0) | 丁格尔岛(9) | 丁格尔岛(9)
SouthGerudoRuins | Southern Oasis | -3727,3616 | 南格鲁德遗迹(0) | 拉比平原(6) | -(468!)
SugrantForest | Pagos Woods | 735,3095 | 苏格兰特森林(0) | 帕格斯森林(3) | 帕格斯森林(3)
SusonoLake | Rutile Lake | -2532,633 | 裾野湖(0) | 鲁特利湖(2) | -(580!)
SusonoPlain | Illumeni Plateau | -3106,15 | 裾野平原(0) | 伊鲁梅尼高原(3) | 伊鲁梅尼高原(3)
SusonoPond | Lake Illumeni | -3537,149 | 裾野池塘(0) | 伊鲁梅尼湖(3) | 伊鲁梅尼湖(3)
SusonoRiver | Tamio River | -2351,85 | 裾野河(0) | 塔米奥河(3) | 塔米奥河(3)
SwanLake | Hebra Falls | -2757,-2328 | 天鹅湖(0) | 海布拉瀑布(3) | 海布拉瀑布(2)
TabantaHill | Tabantha Hills | -2465,-1843 | 塔邦达山丘(0) | 塔邦挞山(3) | 塔邦挞山(3)
TabantaSnow_North | N. Tabantha Snowfield | -1702,-3291 | 北塔邦达雪原(0) | 北塔邦挞雪原(7) | 北塔邦挞雪原(7)
TabantaSnow_South | S. Tabantha Snowfield | -1849,-2494 | 南塔邦达雪原(0) | 南塔邦挞雪原(1) | 南塔邦挞雪原(1)
TafeaHill | Taafei Hill | -2807,1819 | 塔费亚山丘(0) | 塔菲山丘(2) | 塔菲山丘(2)
TagonaTrees | Tabahl Woods | 2573,-177 | 塔戈纳树林(0) | 塔巴尔森林(4) | 塔巴尔森林(4)
TakkikaPlain | Nima Plain | -1608,439 | 塔基卡平原(0) | 尼玛平原(2) | 尼玛平原(2)
TamaLake | Tama Pond | -2964,-1898 | 玉湖(0) | 塔玛池(3) | -(268!)
TamulPlain | Ordorac Quarry | 3654,-2525 | 塔穆尔平原(0) | 奥多拉克采掘场(5) | 奥多拉克采掘场(6)
TargarPlain | Brynna Plain | 3927,382 | 塔鲁加尔平原(0) | 布丽娜平原(7) | 布丽娜平原(7)
TaruhoPlateau | Firly Plateau | 2949,2380 | 塔鲁霍台地(0) | 佛利高原(4) | 佛利高原(5)
TatsubaLake | Batrea Lake | 563,1234 | 达楚巴湖(0) | 鲁特利湖(14) | 鲁特利湖(14)
TeguriPlain | Grinnden Plains | -754,2916 | 特古里平原(0) | 格林登平原(4) | 格林登平原(4)
TehotaWet | Nautelle Wetlands | -630,3839 | 特霍塔湿地(0) | 诺特尔湿地(1) | 诺特尔湿地(1)
TennoMt | Washa's Bluff | -2732,87 | 天诺山(0) | 瓦沙悬崖(1) | 瓦沙悬崖(1)
TeraPlain | Mabe Prairie | 259,-46 | 特拉平原(0) | 玛贝大草原(4) | 玛贝大草原(4)
TerumeMt | Mount Taran | 2484,2676 | 特鲁梅山(0) | 塔兰山(2) | 塔兰山(3)
TerumePass | Taran Pass | 2714,2854 | 特鲁梅隘口(0) | 塔兰通道(3) | 塔兰通道(3)
TohikiLake | Koto Pond | 2397,2534 | 托希基湖(0) | 科托塘(3) | 科托塘(3)
TomiyoPlateau | Trotter's Downfall | 3089,830 | 托米约台地(0) | 特罗特崖(5) | 特罗特崖(4)
TompoPlain | Romani Plains | 338,-358 | 罗玛尼平原(0) | 罗马尼平原(6) | 罗马尼平原(7)
TorumaDesert | Toruma Dunes | -4763,2731 | 托鲁马沙漠(0) | 托罗玛沙丘(6) | 托罗玛沙丘(5)
TotenLake | Oakle's Navel | 2463,2099 | 托滕湖(0) | 列维亚柱(5) | -(137!)
TrakaIsland | Linebeck Island | 1746,91 | 特拉卡岛(0) | 莱恩贝克岛(8) | 莱恩贝克岛(8)
TrakaIsland_Big | Mercay Island | 1713,-131 | 特拉卡大岛(0) | 美赛岛(5) | 美赛岛(5)
TrakaIsland_Center | Goponga Island | 1553,339 | 特拉卡中央岛(0) | 古蓬加岛(7) | 古蓬加岛(7)
TrakaIsland_East | Kincean Island | 2025,146 | 特拉卡东岛(0) | 金赛安岛(6) | 金赛安岛(5)
TrakaIsland_New | Molida Island | 1843,207 | 特拉卡新岛(0) | 摩力达岛(7) | 摩力达岛(7)
TrakaIsland_North | Shrine Island | 1661,431 | 特拉卡北岛(0) | 神庙岛(7) | -(122!)
TrakaIsland_Small | Bannan Island | 1776,377 | 特拉卡小岛(0) | 班南岛(6) | 班南岛(6)
TrakaIsland_South | Zauz Island | 1452,170 | 特拉卡南岛(0) | 萨乌斯岛(4) | 萨乌斯岛(4)
TrakaIsland_West | Wes Island | 1394,300 | 特拉卡西岛(0) | 维斯岛(7) | 维斯岛(7)
TryCape | Shatterback Point | 3757,-412 | 特莱岬(0) | 破背海岬(6) | 破背海岬(6)
TsukaiePlateau | Stinger Cliffs | 2856,2616 | 楚卡伊埃台地(0) | 刺崖(4) | 刺崖(4)
TuaboSnow | Vatorsa Snowfield | -3474,1128 | 图阿博雪原(0) | 瓦特萨雪域(2) | -(522!)
TunbriPlain | Courage Steppe | 2270,2942 | 图恩布里平原(0) | 勇气草原(4) | 勇气草原(4)
TurasuLake | Lake of the Horse God | 635,3635 | 图拉斯湖(0) | 神马湖(1) | 神马湖(1)
TutukikiSnow | Pikida Stonegrove | -2286,-3162 | 楚楚基基雪原(0) | 皮基达石林(4) | 皮基达石林(5)
TwinsMountain | Dueling Peaks | 1358,1782 | 双子山(0) | 采石场遗址(57!) | -(57!)
UbotsuPlateau | Ubota Point | 1609,3630 | 乌博楚台地(0) | 乌博塔点(5) | 乌博塔点(5)
UchoPlateau | Mable Ridge | 1337,1424 | 乌乔台地(0) | 鲁特利湖(8) | -(295!)
UkkoPond | Lake Kilsie | -4100,-2370 | 乌科池塘(0) | 基尔塞湖(4) | 基尔塞湖(4)
UraitoLake | Riola Spring | 1789,2943 | 乌莱托湖(0) | 利奥拉之泉(5) | 利奥拉之泉(6)
UrokoCape | Cape Cales | 3545,3261 | 鳞岬(0) | 卡尔海角(6) | 卡尔海角(6)
VPlateau | Zirco Mesa | -2616,1556 | V字台地(0) | 泽尔科高原(2) | 泽尔科高原(2)
WabiLake | Lake Akkala | 3924,-1497 | 瓦比湖(0) | 阿波西亚海岸(4) | -(345!)
WatakaPlateau | Quatta's Shelf | 2158,558 | 瓦塔卡台地(0) | 夸塔暗礁(2) | 夸塔暗礁(2)
WestEunpoHighlands | West Deplian Badlands | 17,-3455 | 西云波高地(0) | 西迪普兰荒地(2) | 西迪普兰荒地(2)
WestGerudo | West Barrens | -4541,2502 | 西格鲁德(0) | 西部荒漠(4) | -(214!)
WestGerudoRuins | West Gerudo Ruins | -4469,2297 | 西格鲁德遗迹(0) | 西部格鲁德遗迹(4) | 西部格鲁德遗迹(4)
XehaPlateau | Upland Zorana | 3137,-877 | 克塞哈台地(0) | 卓拉高地(3) | 卓拉高地(3)
YamabiLake | Yambi Lake | 2475,3584 | 山比湖(0) | 费罗纳湖(7) | 费罗纳湖(8)
YamariRiver | Squabble River | 917,1784 | 亚马里河(0) | 诺凯河(7) | 诺凯河(7)
YarimoRiver | Golow River | 1486,-2550 | 亚里莫河(0) | 戈隆河(2) | 戈隆河(2)
YashinoBeach | Palmorae Beach | 3497,3460 | 椰野海滩(0) | 帕摩拉海滩(3) | 帕摩拉海滩(3)
YuaSnow | Naydra Snowfield | 3512,1438 | 尤阿雪原(0) | 内德拉雪地(10) | 内德拉雪地(10)
ZamaPlain | Seres Scablands | -2324,-450 | 扎马平原(0) | 赛里斯劣地(3) | 赛里斯劣地(3)
ZaridoLake | Lake Darman | 2145,-3129 | 扎里多湖(0) | 达尔曼湖(2) | 达尔曼湖(2)
ZaridoPlateau | Eldin's Flank | 2293,-3679 | 扎里多台地(0) | 艾丁侧翼(1) | 艾丁侧翼(2)
ZifForest | Forest of Time | -368,1525 | 吉夫森林(0) | 时间森林(3) | 时间森林(3)
ZitoGreens | Passeri Greenbelt | -596,205 | 吉托草原(0) | 帕塞里绿带(2) | 帕塞里绿带(2)
ZoraBridge | Great Zora Bridge | 3233,-314 | 卓拉大桥(0) | 拉奈鲁高地(3) | -(167!)
