lv,label,现名,官方名,px_x,px_y,官方px_x,官方px_y,坐标差px,匹配,动作,来源
r3,NiiLake,珊湖,珊湖,11904,16113,11904,16113,0.3,名字,无需改,Location
r3,NikakaIsland,蟹蟹岛,蟹蟹岛,15084,3852,15084,3852,0.3,名字,无需改,Location
r3,NishakkarePlain,卡纳莱特高原,卡纳莱特高原,18618,6186,18618,6186,0.3,名字,无需改,Location
r3,NitariBeach,科尔奈海滩,科尔奈海滩,17882,17312,17882,17312,0.4,名字,无需改,Location
r3,NomyPlain,齐纳嘉莱湿地带,齐纳嘉莱湿地带,7736,8649,7736,8649,0.4,名字,无需改,Location
r3,NorthHugeStone,北格鲁德巨石,北格鲁德巨石,5357,14495,5357,14495,0.5,名字,无需改,Location
r3,NutsLake,萨莉娅湖,萨莉娅湖,12128,6234,12128,6234,0.3,名字,无需改,Location
r3,OkuAkkarePlain,深远阿卡莱平原,深远阿卡莱平原,19487,3302,19487,3302,0.2,名字,无需改,Location
r3,OkuwaLake,谢拉湖,谢拉湖,15256,12769,15256,12769,0.2,名字,无需改,Location
r3,OngiForest,苹果森林,苹果森林,13105,9422,13105,9422,0.4,名字,无需改,Location
r3,OoosePlain,奥赛平原,奥赛平原,10441,17129,10441,17129,0.5,名字,无需改,Location
r3,OrupaPlateau,澳尔帕台地,澳尔帕台地,6120,12414,6120,12414,0.6,名字,无需改,Location
r3,OshoromaLake,露朵湖,露朵湖,18342,9675,18342,9675,0.3,名字,无需改,Location
r3,OtsukoWet,塔林湿地,塔林湿地,19203,6726,19203,6726,0.6,名字,无需改,Location
r3,PafaBeach,帕发海岸,帕发海岸,12463,17795,12463,17795,0.4,名字,无需改,Location
r3,PaiyuBay,荷隆湾,荷隆湾,20468,10629,20468,10629,0.5,名字,无需改,Location
r3,PakanchiIsland,纳克仑岛,纳克仑岛,21306,8369,21306,8369,0.4,名字,无需改,Location
r3,PaparaPlateau,斯塔尔里台地,斯塔尔里台地,8857,15430,8857,15430,0.2,名字,无需改,Location
r3,PearlWaste,帕鲁荒原,帕鲁荒原,5764,15964,5764,15964,0.4,名字,无需改,Location
r3,PeridoBarrier,贝立德关卡,贝立德关卡,7915,16388,7915,16388,0.5,名字,无需改,Location
r3,PongagaMt,艾波尼山,艾波尼山,18702,15062,18702,15062,0.4,名字,无需改,Location
r3,PoponMt,萨托利山,萨托利山,7542,10676,7542,10676,0.4,名字,无需改,Location
r3,PstaLake,米德沼泽,米德沼泽,13624,5292,13624,5292,0.1,名字,无需改,Location
r3,PukiroroMt,杜·邦山脉,杜·邦山脉,17457,10238,17457,10238,0.4,名字,无需改,Location
r3,PukuntoMt,无底沼泽,无底沼泽,13226,11131,13226,11131,0.4,名字,无需改,Location
r3,PupukoreFalls,塞拉瀑布,塞拉瀑布,18166,9089,18166,9089,0.5,名字,无需改,Location
r3,RaberaWet,拉贝拉湿地带,拉贝拉湿地带,16840,15565,16840,15565,0.2,名字,无需改,Location
r3,RapikuruPlateau,加卜台地,加卜台地,19821,10116,19821,10116,0.3,名字,无需改,Location
r3,RapinyaPlateau,露朵台地,露朵台地,18818,9529,18818,9529,0.3,名字,无需改,Location
r3,RaruLake,克拉尔湖,克拉尔湖,16040,16432,16040,16432,0.3,名字,无需改,Location
r3,RashamaPlain,北海拉鲁平原,北海拉鲁平原,9322,8432,9322,8432,0.2,名字,无需改,Location
r3,RazezePlateau,拉聂尔台地,拉聂尔台地,17598,11836,17598,11836,0.5,名字,无需改,Location
r3,RiaroTrees,希克里森林,希克里森林,15902,14884,15902,14884,0.4,名字,无需改,Location
r3,RiberaForest,利贝拉树海,利贝拉树海,15770,16652,15770,16652,0.5,名字,无需改,Location
r3,RibuchaPlateau,阿尔达台地,阿尔达台地,10529,5840,10529,5840,0.6,名字,无需改,Location
r3,Rikona_Peninshra,利科纳半岛,利科纳半岛,15211,11360,15211,11360,0.2,名字,无需改,Location
r3,RinosPass,利诺斯岭,利诺斯岭,4414,5528,4414,5528,0.4,名字,无需改,Location
r3,RirimukuHighlands,沃尔纳高地,沃尔纳高地,11311,3758,11311,3758,0.2,名字,无需改,Location
r3,RirimukuMt,沃尔纳山,沃尔纳山,10877,4730,10877,4730,0.3,名字,无需改,Location
r3,RiritotoLake,利利特特湖,利利特特湖,4785,6118,4785,6118,0.4,名字,无需改,Location
r3,RishakutoPlateau,纳利夏高地,纳利夏高地,15700,12488,15700,12488,0.3,名字,无需改,Location
r3,RodaiLake,罗达伊湖,罗达伊湖,15728,16260,15728,16260,0.3,名字,无需改,Location
r3,RogyLake,贾拉湖,贾拉湖,17935,14447,17935,14447,0.4,名字,无需改,Location
r3,RokomakuMt,玛德罗纳山,玛德罗纳山,19643,13378,19643,13378,0.1,名字,无需改,Location
r3,RonronFarm,平原牧场遗迹,平原牧场遗迹,12220,10544,12220,10544,0.5,名字,无需改,Location
r3,RonronRiver,海利亚河,海利亚河,12252,13510,12252,13510,0.6,名字,无需改,Location
r3,RoshiganLake,南纳比湖,南纳比湖,13741,13208,13741,13208,0.2,名字,无需改,Location
r3,RosomaLake,托托湖,托托湖,18959,8232,18959,8232,0.2,名字,无需改,Location
r3,RuberaHill,马克雅林高地,马克雅林高地,5215,11219,5215,11219,0.2,名字,无需改,Location
r3,RutesLake,路特斯湖,路特斯湖,15371,16178,15371,16178,0.2,名字,无需改,Location
r3,RutimaHill,鲁奇玛高地,鲁奇玛高地,2946,12834,2946,12834,0.1,名字,无需改,Location
r3,RutsuPlain,路茨平原,路茨平原,4388,9038,4388,9038,0.3,名字,无需改,Location
r3,SaiMt,古斯塔夫山,古斯塔夫山,10169,9578,10169,9578,0.5,名字,无需改,Location
r3,SanaePlateau,包美尔高地,包美尔高地,12859,13520,12859,13520,0.5,名字,无需改,Location
r3,SanrosaLake,鲁皮湖,鲁皮湖,14403,7711,14403,7711,0.6,名字,无需改,Location
r3,SaohPoint,三叉山道,三叉山道,17375,8472,17375,8472,0.5,名字,无需改,Location
r3,SaphiasPlateau,萨菲亚斯台地,萨菲亚斯台地,5660,13148,5660,13148,0.6,名字,无需改,Location
r3,SarjonForest,撒戎树海,撒戎树海,14263,16558,14263,16558,0.3,名字,无需改,Location
r3,SasamuroBeach,克拉里海滩,克拉里海滩,17171,17795,17171,17795,0.3,名字,无需改,Location
r3,ShariverMt,夏利巴山,夏利巴山,5657,4636,5657,4636,0.3,名字,无需改,Location
r3,ShikuriIslands,文特岛,文特岛,21043,12012,21043,12012,0.4,名字,无需改,Location
r3,ShimukaPlateau,布莱德台地,布莱德台地,17401,13142,17401,13142,0.5,名字,无需改,Location
r3,ShinikkyoForest,巨人森林,巨人森林,9631,10228,9631,10228,0.3,名字,无需改,Location
r3,ShinyarkiPlateau,劳鲁丘陵,劳鲁丘陵,12995,6925,12995,6925,0.6,名字,无需改,Location
r3,ShitanoPond,塔尔荷池塘,塔尔荷池塘,18533,14453,18533,14453,0.4,名字,无需改,Location
r3,SojijiHill,萨尔法山丘,萨尔法山丘,8487,11713,8487,11713,0.1,名字,无需改,Location
r3,SonoPrairie,贝莱平原,贝莱平原,14784,8170,14784,8170,0.3,名字,无需改,Location
r3,SoridaPeninsula,奇克伦岛,奇克伦岛,21411,7252,21411,7252,0.5,名字,无需改,Location
r3,SouthGerudoRuins,南部绿洲,南部绿洲,4546,17233,4546,17233,0.5,名字,无需改,Location
r3,SugrantForest,思古兰特树海,思古兰特树海,13469,16190,13469,16190,0.2,名字,无需改,Location
r3,SusonoLake,卢驰尔湖,卢驰尔湖,6937,11266,6937,11266,0.4,名字,无需改,Location
r3,SusonoPlain,伊露美娜台地,伊露美娜台地,5788,10029,5788,10029,0.5,名字,无需改,Location
r3,SusonoPond,伊露美娜池塘,伊露美娜池塘,4926,10299,4926,10299,0.1,名字,无需改,Location
r3,SusonoRiver,泰阿蒙河,泰阿蒙河,7299,10169,7299,10169,0.6,名字,无需改,Location
r3,SwanLake,海布拉河,海布拉河,6487,5344,6487,5344,0.5,名字,无需改,Location
r3,TabantaHill,塔邦挞山丘,塔邦挞山丘,7071,6314,7071,6314,0.0,名字,无需改,Location
r3,TabantaSnow_North,北塔邦挞雪原,北塔邦挞雪原,8596,3418,8596,3418,0.6,名字,无需改,Location
r3,TabantaSnow_South,南塔邦挞雪原,南塔邦挞雪原,8302,5012,8302,5012,0.2,名字,无需改,Location
r3,TafeaHill,塔菲亚高地,塔菲亚高地,6385,13638,6385,13638,0.4,名字,无需改,Location
r3,TagonaTrees,塔巴尔森林,塔巴尔森林,17145,9646,17145,9646,0.4,名字,无需改,Location
r3,TakkikaPlain,尼凯尔平原,尼凯尔平原,8783,10877,8783,10877,0.5,名字,无需改,Location
r3,TamaLake,塔玛湖,塔玛湖,6073,6204,6073,6204,0.0,名字,无需改,Location
r3,TamulPlain,奥尔龙盆地,奥尔龙盆地,19309,4950,19309,4950,0.5,名字,无需改,Location
r3,TargarPlain,布兰努山丘,布兰努山丘,19855,10764,19855,10764,0.5,名字,无需改,Location
r3,TaruhoPlateau,火萤台地,火萤台地,17899,14761,17899,14761,0.4,名字,无需改,Location
r3,TatsubaLake,莫尔赛湖,莫尔赛湖,13126,12468,13126,12468,0.3,名字,无需改,Location
r3,TeguriPlain,泰格利平原,泰格利平原,10492,15832,10492,15832,0.4,名字,无需改,Location
r3,TehotaWet,泰荷塔湿地,泰荷塔湿地,10740,17679,10740,17679,0.6,名字,无需改,Location
r3,TennoMt,瓦舒阿山丘,瓦舒阿山丘,6536,10174,6536,10174,0.5,名字,无需改,Location
r3,TeraPlain,麦贝草原,麦贝草原,12517,9909,12517,9909,0.4,名字,无需改,Location
r3,TerumeMt,泰尔美山,泰尔美山,16967,15353,16967,15353,0.3,名字,无需改,Location
r3,TerumePass,泰尔美岭,泰尔美岭,17427,15708,17427,15708,0.4,名字,无需改,Location
r3,TohikiLake,托西奇池塘,托西奇池塘,16795,15067,16795,15067,0.4,名字,无需改,Location
r3,TomiyoPlateau,洛塔托台地,洛塔托台地,18179,11660,18179,11660,0.5,名字,无需改,Location
r3,TompoPlain,罗玛尼平原,罗玛尼平原,12677,9284,12677,9284,0.4,名字,无需改,Location
r3,TorumaDesert,卢玛琳沙丘,卢玛琳沙丘,2474,15462,2474,15462,0.4,名字,无需改,Location
r3,TotenLake,拉纳湖,拉纳湖,16926,14199,16926,14199,0.5,名字,无需改,Location
r3,TrakaIsland,莱恩贝克岛,,15492,10181,15492,10181,0.5,坐标,名字待定,Location
r3,TrakaIsland_Big,迈尔卡岛,迈尔卡岛,15425,9738,15425,9738,0.4,名字,无需改,Location
r3,TrakaIsland_Center,科彭嘉岛,科彭嘉岛,15106,10678,15106,10678,0.4,名字,无需改,Location
r3,TrakaIsland_East,米奥乌岛,米奥乌岛,16049,10292,16049,10292,0.4,名字,无需改,Location
r3,TrakaIsland_New,摩尔德岛,摩尔德岛,15686,10413,15686,10413,0.4,名字,无需改,Location
r3,TrakaIsland_North,神庙岛,神庙岛,15323,10861,15323,10861,0.3,名字,无需改,Location
r3,TrakaIsland_Small,波浓岛,波浓岛,15551,10753,15551,10753,0.2,名字,无需改,Location
r3,TrakaIsland_South,萨乌兹岛,萨乌兹岛,14904,10339,14904,10339,0.5,名字,无需改,Location
r3,TrakaIsland_West,维斯岛,维斯岛,14788,10600,14788,10600,0.6,名字,无需改,Location
r3,TryCape,尝试海角,尝试海角,19514,9176,19514,9176,0.4,名字,无需改,Location
r3,TsukaiePlateau,茨卡耶台地,茨卡耶台地,17712,15233,17712,15233,0.2,名字,无需改,Location
r3,TuaboSnow,查波雪原,查波雪原,5053,12255,5053,12255,0.2,名字,无需改,Location
r3,TunbriPlain,勇萨米平原,勇萨米平原,16541,15884,16541,15884,0.5,名字,无需改,Location
r3,TurasuLake,马神湖,马神湖,13270,17270,13270,17270,0.4,名字,无需改,Location
r3,TutukikiSnow,茨茨齐齐雪原,茨茨齐齐雪原,7428,3677,7428,3677,0.3,名字,无需改,Location
r3,TwinsMountain,双子山,双子山,14716,13563,14716,13563,0.5,名字,无需改,Location
r3,UbotsuPlateau,乌波茨台地,乌波茨台地,15217,17259,15217,17259,0.4,名字,无需改,Location
r3,UchoPlateau,梅布尔高原,梅布尔高原,14673,12848,14673,12848,0.4,名字,无需改,Location
r3,UkkoPond,乌克池塘,乌克池塘,3801,5259,3801,5259,0.6,名字,无需改,Location
r3,UraitoLake,乌拉伊特湖,乌拉伊特湖,15578,15885,15578,15885,0.2,名字,无需改,Location
r3,UrokoCape,乌洛克海角,乌洛克海角,19090,16523,19090,16523,0.6,名字,无需改,Location
r3,VPlateau,基尔克台地,基尔克台地,6768,13112,6768,13112,0.5,名字,无需改,Location
r3,WabiLake,阿卡莱湖,阿卡莱湖,19849,7006,19849,7006,0.5,名字,无需改,Location
r3,WatakaPlateau,阔塔台地,阔塔台地,16315,11115,16315,11115,0.6,名字,无需改,Location
r3,WestEunpoHighlands,西埃文坡高地,西埃文坡高地,12034,3091,12034,3091,0.5,名字,无需改,Location
r3,WestGerudo,西格鲁德,西格鲁德,2918,15005,2918,15005,0.5,名字,无需改,Location
r3,WestGerudoRuins,西格鲁德遗迹,西格鲁德遗迹,3063,14594,3063,14594,0.3,名字,无需改,Location
r3,XehaPlateau,卓拉台地,卓拉台地,18275,8246,18275,8246,0.5,名字,无需改,Location
r3,YamabiLake,亚玛比湖,亚玛比湖,16950,17167,16950,17167,0.4,名字,无需改,Location
r3,YamariRiver,诺凯河,诺凯河,13834,13568,13834,13568,0.2,名字,无需改,Location
r3,YarimoRiver,米奇奇河,米奇奇河,14972,4901,14972,4901,0.3,名字,无需改,Location
r3,YashinoBeach,雅西诺海滩,雅西诺海滩,18993,16920,18993,16920,0.5,名字,无需改,Location
r3,YuaSnow,聂尔龙雪原,聂尔龙雪原,19024,12877,19024,12877,0.3,名字,无需改,Location
r3,ZamaPlain,塞莱斯平原,塞莱斯平原,7352,9100,7352,9100,0.4,名字,无需改,Location
r3,ZaridoLake,达鲁马湖,达鲁马湖,16291,3742,16291,3742,0.6,名字,无需改,Location
r3,ZaridoPlateau,奥尔汀台地,奥尔汀台地,16585,2643,16585,2643,0.5,名字,无需改,Location
r3,ZifForest,时光森林,时光森林,11264,13051,11264,13051,0.3,名字,无需改,Location
r3,ZitoGreens,鸟鸣草原,鸟鸣草原,10807,10410,10807,10410,0.4,名字,无需改,Location
r3,ZoraBridge,卓拉大桥,卓拉大桥,18466,9371,18466,9371,0.5,名字,无需改,Location
r4,AdeyaLake,阿迪亚湖,阿迪亚湖,12732,13765,12732,13765,0.5,名字,无需改,Location
r4,BumiPlain,风标草原,风标草原,11471,11211,11471,11211,0.3,名字,无需改,Location
r4,FuruboLake,幽芬湖,幽芬湖,16842,7157,16842,7157,0.6,名字,无需改,Location
r4,GoanaValley,葛亚娜峡谷,葛亚娜峡谷,18547,16824,18547,16824,0.3,名字,无需改,Location
r4,HeburaWestSummit,海布拉山西岳,海布拉山西岳,3154,4554,3154,4554,0.4,名字,无需改,Location
r4,Hyrule_Out,海拉鲁城堡护城河,海拉鲁城堡护城河,10833,8105,10833,8105,0.1,名字,无需改,Location
r4,HyruleEastTown,东海拉鲁城邑遗迹,东海拉鲁城邑遗迹,11980,9125,11980,9125,0.2,名字,无需改,Location
r4,HyruleWestTown,西海拉鲁城邑遗迹,西海拉鲁城邑遗迹,10972,9127,10972,9127,0.5,名字,无需改,Location
r4,KikinosaPlain,拉布拉山丘,拉布拉山丘,6910,7441,6910,7441,0.3,名字,无需改,Location
r4,LostForest,迷失的森林,迷失的森林,13483,6175,13483,6175,0.0,名字,无需改,LocationPointer
r4,KurisobeSnow,贝利尔雪原,贝利尔雪原,2944,11487,2944,11487,0.3,名字,无需改,Location
r4,RashamaPlain,北海拉鲁平原,北海拉鲁平原,9516,7871,9516,7871,0.5,名字,无需改,Location
r4,RirimukuMt,沃尔纳山,沃尔纳山,9505,3474,9505,3474,0.3,名字,无需改,Location
r4,RiritotoLake,利利特特湖,利利特特湖,4492,6510,4492,6510,0.3,名字,无需改,Location
r4,AkkareBigBridge,阿卡莱大桥,阿卡莱大桥,18017,7514,18017,7514,0.2,坐标,无需改,LocationPointer
r4,AkkareGarrison,阿卡莱练兵场遗迹,阿卡莱练兵场遗迹,18619,7596,18619,7596,0.3,名字,无需改,LocationPointer
r4,AkkareZhai,阿卡莱堡垒遗迹,阿卡莱堡垒遗迹,18672,7095,18672,7095,0.3,名字,无需改,LocationPointer
r4,AkkareZhaiBridge,阿卡莱堡垒联络桥遗迹,阿卡莱堡垒联络桥遗迹,18300,7221,18300,7221,0.3,名字,无需改,LocationPointer
r4,BigBrotherBridge,双子哥哥桥,双子哥哥桥,15344,14067,15344,14067,0.3,名字,无需改,LocationPointer
r4,BraveFountain,勇气之泉,勇气之泉,13753,14743,13754,14743,0.9,名字,无需改,LocationPointer
r4,CelebrationPark,祭奠场遗迹,祭奠场遗迹,11492,9847,11492,9847,0.0,名字,无需改,LocationPointer
r4,CentralExchange,交易所遗迹,交易所遗迹,10513,11736,10512,11736,1.0,名字,无需改,LocationPointer
r4,ChirakaVillage,科彭嘉村遗迹,科彭嘉村遗迹,15233,10526,15233,10526,0.6,名字,无需改,LocationPointer
r4,Cohorint,塞哈特诺岛,塞哈特诺岛,21210,17294,21210,17294,0.4,名字,无需改,LocationPointer
r4,Corosseo,竞技场遗迹,竞技场遗迹,9699,12525,9698,12525,1.0,名字,无需改,LocationPointer
r4,DodoraBridge,拉鲁特大桥,拉鲁特大桥,18151,10008,18151,10008,0.5,名字,无需改,LocationPointer
r4,DragonMarsh,龙骨沼泽,龙骨沼泽,3651,6570,3651,6570,0.3,名字,无需改,LocationPointer
r4,EastDam,东部的蓄水湖,东部的蓄水湖,19292,9761,19292,9761,0.5,名字,无需改,LocationPointer
r4,EastGerudoRuins,东格鲁德遗迹,东格鲁德遗迹,6618,15779,6618,15779,0.2,名字,无需改,LocationPointer
r4,EzzuBridge,伊格尔斯桥,伊格尔斯桥,13940,11882,13941,11882,1.3,名字,无需改,LocationPointer
r4,FironeForestEntrance,费罗尼树海入口,费罗尼树海入口,12790,16075,12790,16075,0.3,名字,无需改,LocationPointer
r4,FlamingoSpa,明弗拉的秘泉,明弗拉的秘泉,5113,2851,5113,2851,0.0,名字,无需改,LocationPointer
r4,FlowerSandbank,花之中州,花之中州,13728,11760,13729,11760,0.9,名字,无需改,LocationPointer
r4,GameBalling,彭多的小屋,彭多的小屋,7847,5839,7847,5839,0.3,名字,无需改,LocationPointer
r4,GameBitalockGolf,库库甲谷球场,库库甲谷球场,5762,8744,5762,8744,0.6,名字,无需改,LocationPointer
r4,GameGutsCriff,毅力崖,毅力崖,17348,2977,17348,2977,0.0,名字,无需改,LocationPointer
r4,GameShiledSurf,丝莱米的小屋,丝莱米的小屋,6072,3719,6072,3719,0.3,名字,无需改,LocationPointer
r4,GameYabusame,骑射演武报名处,骑射演武报名处,11675,17029,11675,17029,0.3,名字,无需改,LocationPointer
r4,GameZarashiRace,沙海象拉力赛报名处,沙海象拉力赛报名处,4454,16396,4454,16396,0.0,名字,无需改,LocationPointer
r4,GarakishiVillage,夏特村落遗迹,夏特村落遗迹,18108,5401,18108,5401,0.4,名字,无需改,LocationPointer
r4,GerudoCanyon_Entrance,格鲁德峡谷入口,格鲁德峡谷入口,8693,14034,8692,14034,1.0,名字,无需改,LocationPointer
r4,GerudoDesert_Entrance,格鲁德沙漠入口,格鲁德沙漠入口,6164,14645,6164,14645,0.4,名字,无需改,LocationPointer
r4,GerudoFossil,格鲁德大化石,格鲁德大化石,2352,17432,2352,17432,0.4,名字,无需改,LocationPointer
r4,GoronBridge,鼓隆桥,鼓隆桥,15291,5117,15291,5117,0.5,名字,无需改,LocationPointer
r4,GutinizaPlainTomb,古奇尼扎平原古墓群,古奇尼扎平原古墓群,14129,16753,14130,16753,1.0,名字,无需改,LocationPointer
r4,HachijoBridge,阿乌尔桥,阿乌尔桥,12652,12546,12652,12546,0.5,名字,无需改,LocationPointer
r4,HeburaFossil,海布拉大化石,海布拉大化石,3967,2631,3967,2631,0.4,名字,无需改,LocationPointer
r4,HeburaLodge,海布拉山脉登山口小屋,海布拉山脉登山口小屋,4855,5449,4855,5449,0.4,名字,无需改,LocationPointer
r4,HopesPlateau,初始台地,初始台地,10140,13819,10139,13819,1.0,名字,无需改,LocationPointer
r4,HyralBridge,海利亚大桥,海利亚大桥,11919,15017,11919,15017,0.4,名字,无需改,LocationPointer
r4,HyruleCastleTown,海拉鲁城堡城镇遗址,,11490,9388,11490,9388,0.0,坐标,名字待定,LocationPointer
r4,HyruleCastle_Hall_0,主殿,主殿,11492,7874,11492,7874,0.1,名字,无需改,LocationPointer
r4,HyruleCastle_Hall_1,二殿,二殿,11660,8300,11660,8300,0.5,名字,无需改,LocationPointer
r4,HyruleCastle_Hall_2,三殿,三殿,11274,8373,11274,8373,0.5,名字,无需改,LocationPointer
r4,HyruleCentralPlace,中央广场遗迹,中央广场遗迹,11492,9229,11492,9229,0.1,名字,无需改,LocationPointer
r4,HyrulePark,海拉鲁森林公园遗迹,海拉鲁森林公园遗迹,12385,8137,12385,8137,0.4,名字,无需改,LocationPointer
r4,HyrulePlace,海拉鲁军事演习场遗迹,海拉鲁军事演习场遗迹,13647,7051,13648,7051,1.0,名字,无需改,LocationPointer
r4,HyruleTemple,海拉鲁大圣堂遗迹,海拉鲁大圣堂遗迹,12160,8759,12160,8759,0.3,名字,无需改,LocationPointer
r4,HyruleTower,城邑监视塔遗迹,城邑监视塔遗迹,12161,9184,12162,9184,0.7,名字,无需改,LocationPointer
r4,IceHouse,北部冰屋,北部冰屋,4502,14577,4502,14577,0.5,名字,无需改,LocationPointer
r4,JokuBridge,莫约里桥,莫约里桥,12414,13207,12414,13207,0.1,名字,无需改,LocationPointer
r4,KingfisherSpa,泽卡瓦米的秘泉,泽卡瓦米的秘泉,3384,3012,3384,3012,0.0,名字,无需改,LocationPointer
r4,LanayruEastEntrance,拉聂尔神道东口,拉聂尔神道东口,18378,12311,18378,12311,0.3,名字,无需改,LocationPointer
r4,LeMarbeBridge,杰德桥,杰德桥,8620,10262,8620,10262,0.4,名字,无需改,LocationPointer
r4,LightningPlateau,雷之台地,雷之台地,7542,8080,7542,8080,0.4,名字,无需改,LocationPointer
r4,LomeiIslands,洛美岛,洛美岛,21309,2700,21309,2700,0.4,名字,无需改,LocationPointer
r4,MaronSpring,马泷之泉,马泷之泉,13602,17408,13603,17408,0.8,名字,无需改,LocationPointer
r4,MarritaExchange,玛丽塔交易所遗迹,玛丽塔交易所遗迹,8390,6750,8390,6750,0.0,名字,无需改,LocationPointer
r4,OrdinBridge,奥尔汀桥,奥尔汀桥,16421,5301,16421,5301,0.5,名字,无需改,LocationPointer
r4,OrdinFossil,奥尔汀大化石,奥尔汀大化石,15095,2605,15095,2605,0.1,名字,无需改,LocationPointer
r4,OsanjoBridge,芬萨桥,芬萨桥,12796,7665,12796,7665,0.3,名字,无需改,LocationPointer
r4,PowerFountain,力量之泉,力量之泉,19509,4656,19509,4656,0.5,名字,无需改,LocationPointer
r4,RirikendoBridge,欧兰桥,欧兰桥,17751,10065,17751,10065,0.0,名字,无需改,LocationPointer
r4,RonronCity,麦贝镇遗迹,麦贝镇遗迹,11885,10349,11885,10349,0.0,名字,无需改,LocationPointer
r4,ShichijoBridge,荷奈尔桥,荷奈尔桥,13361,11955,13362,11955,0.9,名字,无需改,LocationPointer
r4,ShijoBridge,马兹拉桥,马兹拉桥,13060,9012,13061,9012,1.1,名字,无需改,LocationPointer
r4,ShinyarkiVillage,劳鲁村落遗迹,劳鲁村落遗迹,13407,7487,13408,7487,1.0,名字,无需改,LocationPointer
r4,SojijiPark,撒丁公园遗迹,撒丁公园遗迹,8742,11376,8741,11376,1.5,名字,无需改,LocationPointer
r4,SotonkaBridge,泰斯塔桥,泰斯塔桥,8791,12080,8790,12080,1.0,名字,无需改,LocationPointer
r4,SouthGerudoLegacy,刑场遗迹,刑场遗迹,3698,17635,3698,17635,0.3,名字,无需改,LocationPointer
r4,StonePillers,古代石柱群,古代石柱群,4854,9137,4854,9137,0.5,名字,无需改,LocationPointer
r4,SusukadiBridge,达尔布尔桥,达尔布尔桥,16689,9504,16689,9504,0.0,名字,无需改,LocationPointer
r4,TabantaBridge,塔邦挞大桥,塔邦挞大桥,5768,8837,5768,8837,0.5,名字,无需改,LocationPointer
r4,TaserakaBridge,密斯密桥,密斯密桥,14570,8617,14571,8617,1.0,名字,无需改,LocationPointer
r4,TimesShrine,时光之神殿遗迹,时光之神殿遗迹,10362,14011,10362,14011,0.5,名字,无需改,LocationPointer
r4,ToriaBridge,波奇桥,波奇桥,12557,8572,12557,8571,0.6,名字,无需改,LocationPointer
r4,TotsugeBridge,卡洛克桥,卡洛克桥,9825,9051,9824,9051,0.6,名字,无需改,LocationPointer
r4,TurasuBridge,马神桥,马神桥,13179,17478,13180,17478,1.2,名字,无需改,LocationPointer
r4,YashinoLegacy,雅西诺遗迹,雅西诺遗迹,18894,16678,18894,16678,0.0,名字,无需改,LocationPointer
r4,WeaponCureSpring,大精灵之泉,大精灵之泉,15952,11692,15952,11692,0.3,名字,无需改,LocationPointer
r4,WeaponCureSpring_02,大妖精泉,,20224,7243,20224,7243,0.5,坐标,名字待定,LocationPointer
r4,WeaponCureSpring_03,大妖精泉,,4921,8505,4921,8505,0.6,坐标,名字待定,LocationPointer
r4,WeaponCureSpring_04,大妖精泉,,2259,17649,2259,17649,0.0,坐标,名字待定,LocationPointer
